Age,Total,PASS,PASS%,FAIL,FAIL%,VehicleAndSafetyEquipment,VehicleAndSafetyEquipment%,LightingAndElectrical,LightingAndElectrical%,SteeringAndSuspension,SteeringAndSuspension%,BrakingEquipment,BrakingEquipment%,WheelsAndTyres,WheelsAndTyres%,EngineNoiseAndExhaust,EngineNoiseAndExhaust%,ChassisAndBody,ChassisAndBody%,SideSlipTest,SideSlipTest%,SuspensionTest,SuspensionTest%,LightTest,LightTest%,BrakeTest,BrakeTest%,Emmissions,Emmissions%,OTHER,OTHER%,Incompletable,Incompletable%
36,90.0,40.0,44.44,50.0,55.56,19.0,21.11,17.0,18.89,10.0,11.11,6.0,6.67,5.0,5.56,2.0,2.22,20.0,22.22,9.0,10.0,6.0,6.67,12.0,13.33,15.0,16.67,9.0,10.0,0.0,0.0,0.0,0.0
37,5.0,3.0,60.0,2.0,40.0,0.0,0.0,1.0,20.0,1.0,20.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,5.0,3.0,60.0,2.0,40.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,40.0,1.0,20.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,40.0,1.0,20.0,0.0,0.0,0.0,0.0
39,3.0,1.0,33.33,2.0,66.67,2.0,66.67,1.0,33.33,0.0,0.0,0.0,0.0,1.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.33,1.0,33.33,0.0,0.0,0.0,0.0
40,4.0,2.0,50.0,2.0,50.0,0.0,0.0,1.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3.0,1.0,33.33,2.0,66.67,1.0,33.33,2.0,66.67,1.0,33.33,0.0,0.0,1.0,33.33,0.0,0.0,1.0,33.33,0.0,0.0,1.0,33.33,1.0,33.33,1.0,33.33,1.0,33.33,1.0,33.33,0.0,0.0
42,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,3.0,1.0,33.33,2.0,66.67,0.0,0.0,1.0,33.33,1.0,33.33,0.0,0.0,1.0,33.33,0.0,0.0,1.0,33.33,1.0,33.33,0.0,0.0,1.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
